Coac;Marasbot;Conrisc;AntiSquid;Baseline1;Baseline2;UJIAgent1;UJIAgent2
95.19;47.30;42.06;51.43;24.33;37.46;44.55;57.52
95.18;47.33;42.11;51.43;24.29;37.46;44.62;57.42
95.18;47.37;42.17;51.42;24.28;37.46;44.68;57.43
95.19;47.33;42.11;51.43;24.28;37.45;44.61;57.38
95.18;47.42;42.10;51.43;24.26;37.45;44.62;57.37
95.19;47.41;42.04;51.45;24.25;37.41;44.72;57.37
95.20;47.41;42.07;51.50;24.18;37.50;44.75;57.39
95.22;47.38;42.05;51.49;24.14;37.46;44.70;57.35
95.23;47.36;42.09;51.49;24.13;37.46;44.73;57.35
95.24;47.33;42.10;51.54;24.09;37.46;44.72;57.35
95.24;47.40;42.10;51.56;24.10;37.54;44.71;57.36
95.25;47.37;42.07;51.51;24.12;37.50;44.67;57.31
95.24;47.38;42.19;51.47;24.10;37.50;44.69;57.26
95.25;47.35;42.18;51.47;24.10;37.48;44.78;57.22
95.26;47.36;42.19;51.51;24.09;37.54;44.82;57.25
95.23;47.36;42.19;51.50;24.07;37.50;44.77;57.19
95.24;47.32;42.25;51.50;24.09;37.48;44.76;57.21
95.24;47.34;42.22;51.53;24.08;37.48;44.76;57.19
95.25;47.35;42.27;51.58;24.12;37.48;44.73;57.23
95.28;47.33;42.21;51.57;24.10;37.47;44.67;57.18
95.28;47.33;42.36;51.50;24.10;37.45;44.67;57.16
95.25;47.33;42.33;51.50;24.08;37.48;44.69;57.17
95.26;47.36;42.36;51.53;24.04;37.59;44.68;57.19
95.29;47.31;42.32;51.55;24.06;37.53;44.62;57.13
95.29;47.27;42.36;51.57;24.08;37.52;44.64;57.12
95.30;47.22;42.35;51.55;24.04;37.50;44.72;57.15
95.31;47.24;42.40;51.55;23.98;37.62;44.71;57.19
95.33;47.20;42.36;51.54;23.96;37.60;44.67;57.15
95.34;47.20;42.42;51.50;23.98;37.64;44.66;57.12
95.34;47.17;42.43;51.50;23.95;37.62;44.69;57.15
95.35;47.19;42.45;51.55;23.92;37.67;44.71;57.16
95.36;47.17;42.41;51.56;23.91;37.63;44.65;57.12
95.36;47.16;42.42;51.56;23.94;37.63;44.67;57.11
95.37;47.13;42.43;51.57;23.91;37.62;44.74;57.09
95.38;47.13;42.47;51.62;23.90;37.65;44.74;57.11
95.40;47.08;42.45;51.64;23.87;37.62;44.68;57.07
