Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness
 12.82; 16.54; 80.13; 71.83; 58.70; 59.97
 12.84; 16.60; 80.15; 71.73; 58.71; 59.97
 12.84; 16.58; 80.15; 71.70; 58.71; 60.03
 12.80; 16.59; 80.18; 71.72; 58.69; 60.03
 12.87; 16.57; 80.18; 71.69; 58.64; 60.05
 12.89; 16.66; 80.18; 71.61; 58.62; 60.05
 12.96; 16.62; 80.15; 71.58; 58.65; 60.05
 12.95; 16.62; 80.17; 71.62; 58.60; 60.02
 12.92; 16.63; 80.22; 71.60; 58.60; 60.02
 12.94; 16.69; 80.25; 71.54; 58.58; 60.00
 12.93; 16.67; 80.27; 71.54; 58.56; 60.02
 12.92; 16.68; 80.27; 71.51; 58.59; 60.02
 12.91; 16.69; 80.25; 71.53; 58.64; 59.98
 12.93; 16.67; 80.25; 71.58; 58.60; 59.98
 12.95; 16.63; 80.29; 71.50; 58.62; 60.00
 12.94; 16.62; 80.29; 71.50; 58.60; 60.05
 12.91; 16.63; 80.32; 71.49; 58.61; 60.05
 12.95; 16.61; 80.34; 71.51; 58.56; 60.02
 12.94; 16.59; 80.36; 71.51; 58.54; 60.05
 12.94; 16.60; 80.39; 71.53; 58.54; 60.00
 12.93; 16.61; 80.39; 71.55; 58.52; 60.00
 12.90; 16.67; 80.43; 71.50; 58.50; 60.00
 12.87; 16.67; 80.43; 71.52; 58.48; 60.02
 12.88; 16.68; 80.41; 71.49; 58.49; 60.05
 12.88; 16.67; 80.38; 71.51; 58.49; 60.07
 12.97; 16.65; 80.41; 71.51; 58.42; 60.05
 12.96; 16.63; 80.43; 71.48; 58.45; 60.05
 12.95; 16.64; 80.43; 71.50; 58.50; 59.98
 12.92; 16.67; 80.43; 71.54; 58.50; 59.93
 12.99; 16.66; 80.43; 71.54; 58.51; 59.88
 12.98; 16.64; 80.45; 71.54; 58.51; 59.88
 12.97; 16.67; 80.45; 71.49; 58.49; 59.93
 12.96; 16.68; 80.47; 71.51; 58.49; 59.88
 13.03; 16.67; 80.45; 71.50; 58.47; 59.88
 13.00; 16.67; 80.47; 71.45; 58.52; 59.88
 12.97; 16.68; 80.47; 71.47; 58.50; 59.91
 12.96; 16.69; 80.51; 71.47; 58.48; 59.88
 13.00; 16.67; 80.51; 71.49; 58.47; 59.86
 12.99; 16.66; 80.51; 71.48; 58.49; 59.86
 12.99; 16.64; 80.49; 71.48; 58.52; 59.88
 12.98; 16.65; 80.48; 71.48; 58.55; 59.86
 12.97; 16.66; 80.53; 71.45; 58.59; 59.79
 12.97; 16.64; 80.55; 71.43; 58.60; 59.82
 13.00; 16.65; 80.55; 71.35; 58.58; 59.86
 13.02; 16.68; 80.53; 71.35; 58.56; 59.86
 13.04; 16.67; 80.55; 71.35; 58.56; 59.84
 13.01; 16.67; 80.57; 71.34; 58.56; 59.84
 13.02; 16.66; 80.52; 71.39; 58.57; 59.84
 13.06; 16.62; 80.52; 71.38; 58.59; 59.82
 13.12; 16.63; 80.50; 71.43; 58.53; 59.80
 13.18; 16.59; 80.54; 71.38; 58.47; 59.84
 13.18; 16.60; 80.56; 71.42; 58.42; 59.82
 13.15; 16.61; 80.54; 71.44; 58.47; 59.80
 13.18; 16.61; 80.52; 71.46; 58.50; 59.73
 13.18; 16.60; 80.54; 71.43; 58.50; 59.75
 13.17; 16.58; 80.54; 71.45; 58.50; 59.75
 13.14; 16.59; 80.51; 71.45; 58.53; 59.78
 13.11; 16.62; 80.53; 71.44; 58.53; 59.76
 13.08; 16.63; 80.55; 71.46; 58.49; 59.78
 13.08; 16.70; 80.58; 71.42; 58.43; 59.80
 13.05; 16.75; 80.60; 71.37; 58.43; 59.80
 13.04; 16.76; 80.59; 71.41; 58.41; 59.78
 13.01; 16.77; 80.64; 71.41; 58.40; 59.78
 13.00; 16.78; 80.66; 71.43; 58.38; 59.76
 13.00; 16.76; 80.68; 71.40; 58.40; 59.76
 12.99; 16.75; 80.68; 71.42; 58.41; 59.76
 12.98; 16.73; 80.68; 71.42; 58.43; 59.76
