AntiSquid;Baseline1;Baseline2;Chad;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;ReinforcedGreediness;UJIAgent1;UJIAgent2;UJIAgent3
 45.24; 22.56; 26.76; 80.25; 83.52; 33.61; 41.05; 57.44; 57.56; 61.81; 42.05; 54.57; 43.58
 45.30; 22.55; 26.84; 80.27; 83.61; 33.57; 41.10; 57.45; 57.31; 61.79; 41.96; 54.65; 43.62
 45.29; 22.60; 26.83; 80.22; 83.69; 33.50; 41.10; 57.45; 57.19; 61.79; 42.02; 54.65; 43.67
 45.27; 22.55; 26.91; 80.17; 83.77; 33.48; 41.12; 57.37; 57.11; 61.78; 42.11; 54.69; 43.68
 45.31; 22.54; 26.83; 80.19; 83.67; 33.62; 41.08; 57.31; 57.07; 61.76; 42.19; 54.67; 43.75
 45.25; 22.57; 26.87; 80.18; 83.67; 33.69; 41.00; 57.19; 57.21; 61.70; 42.29; 54.73; 43.66
 45.24; 22.61; 26.84; 80.22; 83.70; 33.60; 40.97; 57.22; 57.23; 61.71; 42.24; 54.72; 43.71
 45.26; 22.66; 26.77; 80.28; 83.72; 33.56; 40.97; 57.22; 57.22; 61.71; 42.32; 54.64; 43.68
 45.28; 22.63; 26.88; 80.27; 83.74; 33.60; 40.95; 57.29; 57.04; 61.71; 42.22; 54.70; 43.69
 45.26; 22.70; 26.83; 80.30; 83.74; 33.58; 40.93; 57.24; 57.06; 61.75; 42.22; 54.67; 43.71
 45.31; 22.67; 26.86; 80.28; 83.76; 33.56; 40.88; 57.26; 57.01; 61.77; 42.23; 54.65; 43.76
 45.33; 22.71; 26.79; 80.25; 83.70; 33.64; 40.90; 57.29; 56.92; 61.84; 42.21; 54.65; 43.79
 45.39; 22.64; 26.80; 80.25; 83.67; 33.59; 40.89; 57.25; 57.08; 61.81; 42.21; 54.63; 43.79
